frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c, AU09_c, AU23_r,s_confidence,fac_hapintsoft,fac_sadintsoft,fac_surintsoft,fac_feaintsoft,fac_angintsoft,fac_disintsoft,fac_conintsoft,fac_negintsoft,fac_posintsoft,neu_exp,cai_exp,fac_comintsoft,fac_happres,fac_sadpres,fac_surpres,fac_feapres,fac_angpres,fac_dispres,fac_conpres,fac_hapinthard,fac_sadinthard,fac_surinthard,fac_feainthard,fac_anginthard,fac_disinthard,fac_coninthard,fac_neginthard,fac_posinthard,neu_exp_full,cai_exp_full,fac_cominthard,fac_happsuprinthard,fac_happsuprintsoft,error_reason,dbm_master_url
1,0,0.0,0.98,1,0.35,0.3,1.44,0.0,0.0,1.26,0.0,0.0,0.0,0.0,0.0,0.16,0.35,0.05,0.03,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9800000000000001,0,0.14916666666666667,0.05833333333333333,0.14916666666666667,0.24,0,0,0.10766666666666666,0,0.05833333333333333,0.14916666666666667,0.08523809523809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.05833333333333333,Pass,/app/raw_data/subj01_timepoint01.mp4
2,0,0.033,0.98,1,0.57,0.44,1.53,0.03,0.0,1.42,0.0,0.0,0.0,0.0,0.0,0.23,0.28,0.02,0.06,0.57,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.9800000000000001,0,0.17500000000000002,0.09499999999999999,0.19555555555555557,0.24583333333333335,0,0,0.12327777777777778,0,0.09499999999999999,0.4116666666666667,0.10162698412698414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.09499999999999999,Pass,/app/raw_data/subj01_timepoint01.mp4
3,0,0.067,0.98,1,0.76,0.57,1.45,0.03,0.0,1.2,0.0,0.0,0.0,0.0,0.05,0.24,0.37,0.05,0.05,1.5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.12,0.9800000000000001,0,0.18416666666666667,0.11083333333333334,0.16583333333333336,0.22083333333333333,0,0,0.11416666666666667,0,0.11083333333333334,0.47916666666666663,0.09738095238095239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.11083333333333334,Pass,/app/raw_data/subj01_timepoint01.mp4
4,0,0.1,0.98,1,0.8,0.69,1.4,0.03,0.0,1.02,0.0,0.0,0.0,0.0,0.05,0.31,0.38,0.14,0.06,2.32,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.08,0.9800000000000001,0,0.18333333333333335,0.12416666666666666,0.16291666666666665,0.20166666666666666,0,0,0.10958333333333332,0,0.12416666666666666,0.4683333333333334,0.09601190476190477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.12416666666666666,Pass,/app/raw_data/subj01_timepoint01.mp4
5,0,0.133,0.98,1,0.78,0.63,1.47,0.0,0.0,1.04,0.0,0.0,0.0,0.0,0.05,0.27,0.4,0.16,0.15,2.4,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9800000000000001,0,0.1875,0.11750000000000001,0.16333333333333333,0.20916666666666664,0,0,0.11199999999999999,0,0.11750000000000001,0.4658333333333333,0.09678571428571428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.11750000000000001,Pass,/app/raw_data/subj01_timepoint01.mp4
6,0,0.16699999999999998,0.98,1,0.67,0.58,1.67,0.0,0.0,1.42,0.02,0.0,0.0,0.0,0.0,0.3,0.37,0.12,0.29,1.74,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.9800000000000001,0,0.19499999999999998,0.10416666666666667,0.18083333333333332,0.2575,0,0,0.12666666666666665,0,0.10416666666666667,0.5283333333333333,0.10535714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.10416666666666667,Pass,/app/raw_data/subj01_timepoint01.mp4
7,0,0.2,0.98,1,0.55,0.42,1.68,0.0,0.0,1.62,0.02,0.0,0.0,0.0,0.0,0.22,0.43,0.03,0.35,0.91,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.18,0.9800000000000001,0,0.18583333333333332,0.08083333333333333,0.17791666666666664,0.27499999999999997,0,0,0.12774999999999997,0,0.08083333333333333,0.5258333333333334,0.10279761904761904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.08083333333333333,Pass,/app/raw_data/subj01_timepoint01.mp4
8,0,0.233,0.98,1,0.51,0.27,1.58,0.0,0.0,1.61,0.02,0.0,0.0,0.0,0.0,0.2,0.51,0.03,0.35,0.38,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.9800000000000001,0,0.17416666666666666,0.065,0.16541666666666668,0.26583333333333337,0,0,0.12108333333333335,0,0.065,0.48750000000000004,0.09577380952380952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.065,Pass,/app/raw_data/subj01_timepoint01.mp4
9,0,0.267,0.98,1,0.5,0.13,1.49,0.0,0.0,1.58,0.0,0.0,0.0,0.0,0.0,0.14,0.49,0.04,0.27,0.1,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.9800000000000001,0,0.16583333333333333,0.08333333333333333,0.19833333333333336,0.25583333333333336,0,0,0.12400000000000003,0,0.08333333333333333,0.4291666666666667,0.10047619047619048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.08333333333333333,Pass,/app/raw_data/subj01_timepoint01.mp4
10,0,0.3,0.98,1,0.52,0.08,1.54,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.03,0.13,0.48,0.04,0.23,0.04,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.9800000000000001,0,0.17166666666666666,0.08666666666666667,0.20888888888888887,0.27,0,0,0.13011111111111112,0,0.08666666666666667,0.45499999999999996,0.10531746031746032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.08666666666666667,Pass,/app/raw_data/subj01_timepoint01.mp4
