aco_shimmer,error_reason,Frames,dbm_master_url
,Pass,0,/app/raw_data/subj02_timepoint02.mp4
0.2191863165916215,Pass,1,/app/raw_data/subj02_timepoint02.mp4
,Pass,2,/app/raw_data/subj02_timepoint02.mp4
,Pass,3,/app/raw_data/subj02_timepoint02.mp4
,Pass,4,/app/raw_data/subj02_timepoint02.mp4
,Pass,5,/app/raw_data/subj02_timepoint02.mp4
,Pass,6,/app/raw_data/subj02_timepoint02.mp4
0.18804910528239946,Pass,7,/app/raw_data/subj02_timepoint02.mp4
,Pass,8,/app/raw_data/subj02_timepoint02.mp4
,Pass,9,/app/raw_data/subj02_timepoint02.mp4
,Pass,10,/app/raw_data/subj02_timepoint02.mp4
0.17748132750710682,Pass,11,/app/raw_data/subj02_timepoint02.mp4
,Pass,12,/app/raw_data/subj02_timepoint02.mp4
0.18764541630668155,Pass,13,/app/raw_data/subj02_timepoint02.mp4
,Pass,14,/app/raw_data/subj02_timepoint02.mp4
0.2483818754466371,Pass,15,/app/raw_data/subj02_timepoint02.mp4
,Pass,16,/app/raw_data/subj02_timepoint02.mp4
0.25333800554449265,Pass,17,/app/raw_data/subj02_timepoint02.mp4
,Pass,18,/app/raw_data/subj02_timepoint02.mp4
,Pass,19,/app/raw_data/subj02_timepoint02.mp4
,Pass,20,/app/raw_data/subj02_timepoint02.mp4
,Pass,21,/app/raw_data/subj02_timepoint02.mp4
,Pass,22,/app/raw_data/subj02_timepoint02.mp4
,Pass,23,/app/raw_data/subj02_timepoint02.mp4
