Frames,mov_headvel,error_reason,dbm_master_url
0,,Pass,/app/raw_data/subj02_timepoint02.mp4
1,0.41231056256174436,Pass,/app/raw_data/subj02_timepoint02.mp4
2,0.9539392014169771,Pass,/app/raw_data/subj02_timepoint02.mp4
3,1.0770329614269016,Pass,/app/raw_data/subj02_timepoint02.mp4
4,1.0488088481701319,Pass,/app/raw_data/subj02_timepoint02.mp4
5,1.148912529307598,Pass,/app/raw_data/subj02_timepoint02.mp4
6,3.6414282912066036,Pass,/app/raw_data/subj02_timepoint02.mp4
7,4.049691346263318,Pass,/app/raw_data/subj02_timepoint02.mp4
8,1.5842979517755016,Pass,/app/raw_data/subj02_timepoint02.mp4
9,1.0198039027185708,Pass,/app/raw_data/subj02_timepoint02.mp4
10,0.8660254037844296,Pass,/app/raw_data/subj02_timepoint02.mp4
11,3.351119216023219,Pass,/app/raw_data/subj02_timepoint02.mp4
12,1.0488088481701512,Pass,/app/raw_data/subj02_timepoint02.mp4
13,1.6062378404208673,Pass,/app/raw_data/subj02_timepoint02.mp4
14,0.7141428428542738,Pass,/app/raw_data/subj02_timepoint02.mp4
15,0.3162277660167947,Pass,/app/raw_data/subj02_timepoint02.mp4
16,0.10000000000000142,Pass,/app/raw_data/subj02_timepoint02.mp4
17,0.14142135623732532,Pass,/app/raw_data/subj02_timepoint02.mp4
18,0.3162277660168486,Pass,/app/raw_data/subj02_timepoint02.mp4
19,0.09999999999999964,Pass,/app/raw_data/subj02_timepoint02.mp4
20,0.30000000000001137,Pass,/app/raw_data/subj02_timepoint02.mp4
21,0.42426406871190775,Pass,/app/raw_data/subj02_timepoint02.mp4
22,1.489966442575094,Pass,/app/raw_data/subj02_timepoint02.mp4
23,0.24494897427835466,Pass,/app/raw_data/subj02_timepoint02.mp4
24,1.0488088481701516,Pass,/app/raw_data/subj02_timepoint02.mp4
25,1.2806248474865594,Pass,/app/raw_data/subj02_timepoint02.mp4
26,0.5099019513593045,Pass,/app/raw_data/subj02_timepoint02.mp4
27,2.5079872407968904,Pass,/app/raw_data/subj02_timepoint02.mp4
28,0.905538513813719,Pass,/app/raw_data/subj02_timepoint02.mp4
29,0.5385164807134462,Pass,/app/raw_data/subj02_timepoint02.mp4
30,0.0999999999999659,Pass,/app/raw_data/subj02_timepoint02.mp4
31,1.3964240043769047,Pass,/app/raw_data/subj02_timepoint02.mp4
32,2.2891046284519083,Pass,/app/raw_data/subj02_timepoint02.mp4
33,1.9261360284258124,Pass,/app/raw_data/subj02_timepoint02.mp4
34,2.4879710609249384,Pass,/app/raw_data/subj02_timepoint02.mp4
35,0.14142135623728513,Pass,/app/raw_data/subj02_timepoint02.mp4
36,2.6999999999999615,Pass,/app/raw_data/subj02_timepoint02.mp4
37,1.6492422502470583,Pass,/app/raw_data/subj02_timepoint02.mp4
38,3.4014702703389896,Pass,/app/raw_data/subj02_timepoint02.mp4
39,1.5652475842498463,Pass,/app/raw_data/subj02_timepoint02.mp4
40,2.640075756488797,Pass,/app/raw_data/subj02_timepoint02.mp4
41,1.2247448713915887,Pass,/app/raw_data/subj02_timepoint02.mp4
42,1.3038404810405413,Pass,/app/raw_data/subj02_timepoint02.mp4
43,0.7071067811865359,Pass,/app/raw_data/subj02_timepoint02.mp4
44,1.9235384061671237,Pass,/app/raw_data/subj02_timepoint02.mp4
45,0.14142135623728638,Pass,/app/raw_data/subj02_timepoint02.mp4
46,1.3601470508735631,Pass,/app/raw_data/subj02_timepoint02.mp4
47,1.7916472867169073,Pass,/app/raw_data/subj02_timepoint02.mp4
48,3.679673898594829,Pass,/app/raw_data/subj02_timepoint02.mp4
49,1.5132745950421556,Pass,/app/raw_data/subj02_timepoint02.mp4
50,3.7054014627298204,Pass,/app/raw_data/subj02_timepoint02.mp4
51,2.3958297101421886,Pass,/app/raw_data/subj02_timepoint02.mp4
52,5.1400389103585375,Pass,/app/raw_data/subj02_timepoint02.mp4
53,0.6324555320336972,Pass,/app/raw_data/subj02_timepoint02.mp4
54,3.9408120990476245,Pass,/app/raw_data/subj02_timepoint02.mp4
55,2.4779023386727834,Pass,/app/raw_data/subj02_timepoint02.mp4
56,3.269556544854355,Pass,/app/raw_data/subj02_timepoint02.mp4
57,3.419064199455726,Pass,/app/raw_data/subj02_timepoint02.mp4
58,4.46654228682545,Pass,/app/raw_data/subj02_timepoint02.mp4
59,0.5999999999999659,Pass,/app/raw_data/subj02_timepoint02.mp4
60,1.9339079605813727,Pass,/app/raw_data/subj02_timepoint02.mp4
61,2.891366458960174,Pass,/app/raw_data/subj02_timepoint02.mp4
62,4.2391036788453285,Pass,/app/raw_data/subj02_timepoint02.mp4
63,5.264028875300765,Pass,/app/raw_data/subj02_timepoint02.mp4
64,1.746424919657292,Pass,/app/raw_data/subj02_timepoint02.mp4
65,0.19999999999998863,Pass,/app/raw_data/subj02_timepoint02.mp4
66,3.140063693621539,Pass,/app/raw_data/subj02_timepoint02.mp4
67,2.961418578992203,Pass,/app/raw_data/subj02_timepoint02.mp4
68,0.9899494936611453,Pass,/app/raw_data/subj02_timepoint02.mp4
69,0.5830951894845304,Pass,/app/raw_data/subj02_timepoint02.mp4
70,0.3464101615137686,Pass,/app/raw_data/subj02_timepoint02.mp4
71,0.30000000000001137,Pass,/app/raw_data/subj02_timepoint02.mp4
72,0.3000000000000007,Pass,/app/raw_data/subj02_timepoint02.mp4
73,0.8660254037844743,Pass,/app/raw_data/subj02_timepoint02.mp4
74,1.9723082923316413,Pass,/app/raw_data/subj02_timepoint02.mp4
75,1.9849433241279213,Pass,/app/raw_data/subj02_timepoint02.mp4
76,2.027313493271341,Pass,/app/raw_data/subj02_timepoint02.mp4
77,2.6419689627245946,Pass,/app/raw_data/subj02_timepoint02.mp4
78,2.4718414188616475,Pass,/app/raw_data/subj02_timepoint02.mp4
