fac_AU01int,fac_AU02int,fac_AU04int,fac_AU05int,fac_AU06int,fac_AU07int,fac_AU09int,fac_AU10int,fac_AU12int,fac_AU14int,fac_AU15int,fac_AU17int,fac_AU20int,fac_AU23int,fac_AU25int,fac_AU26int,fac_AU45int,fac_AU01pres,fac_AU02pres,fac_AU04pres,fac_AU05pres,fac_AU06pres,fac_AU07pres,fac_AU09pres,fac_AU10pres,fac_AU12pres,fac_AU14pres,fac_AU15pres,fac_AU17pres,fac_AU20pres,fac_AU23pres,fac_AU25pres,fac_AU26pres,fac_AU28pres,fac_AU45pres,frame,face_id,timestamp,confidence,success,dbm_master_url
0.0,0.0,0.0,0.0,1.05,1.37,0.0,0.99,0.64,2.0,0.0,0.42,0.0,0.03,0.07,0.59,0.05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.06,1.47,0.1,0.92,0.57,1.94,0.0,0.4,0.0,0.03,0.02,0.48,0.09,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.033,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.08,1.53,0.14,0.93,0.52,1.93,0.0,0.4,0.0,0.04,0.0,0.42,0.15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.067,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.07,1.56,0.07,0.9,0.5,1.85,0.0,0.47,0.01,0.02,0.0,0.41,0.09,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0.1,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.12,1.57,0.04,0.97,0.55,1.91,0.0,0.47,0.01,0.02,0.0,0.35,0.41,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.133,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.13,0.0,0.0,0.0,1.07,1.86,0.0,1.06,0.62,1.93,0.0,0.37,0.01,0.0,0.0,0.32,0.95,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,0,0.16699999999999998,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.17,0.0,0.0,0.0,1.03,1.87,0.0,1.23,0.67,2.14,0.06,0.31,0.03,0.0,0.0,0.29,1.58,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7,0,0.2,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.17,0.0,0.0,0.0,1.05,1.95,0.0,1.24,0.7,2.24,0.06,0.34,0.05,0.0,0.05,0.28,1.88,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8,0,0.233,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.04,0.0,0.0,0.0,1.11,1.93,0.0,1.21,0.67,2.18,0.06,0.43,0.05,0.0,0.06,0.19,1.76,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9,0,0.267,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.11,1.94,0.0,1.14,0.62,1.99,0.0,0.29,0.02,0.0,0.06,0.09,1.18,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10,0,0.3,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.07,1.81,0.0,1.13,0.56,1.8,0.0,0.25,0.0,0.0,0.09,0.24,0.56,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11,0,0.33299999999999996,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.08,1.51,0.0,1.08,0.53,1.66,0.0,0.13,0.0,0.0,0.12,0.5,0.08,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12,0,0.36700000000000005,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.13,1.45,0.0,1.1,0.51,1.61,0.0,0.13,0.0,0.0,0.17,0.72,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,0.4,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.1,1.42,0.02,1.02,0.52,1.65,0.0,0.07,0.0,0.0,0.16,0.65,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0,0.433,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.03,1.36,0.02,1.0,0.5,1.81,0.0,0.19,0.0,0.0,0.13,0.52,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,0.467,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,0.98,1.36,0.02,0.92,0.48,1.89,0.0,0.34,0.0,0.0,0.1,0.48,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0,0.5,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,0.97,1.2,0.0,0.92,0.44,1.9,0.0,0.46,0.0,0.0,0.04,0.53,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0,0.5329999999999999,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.0,1.13,0.0,0.92,0.42,1.89,0.0,0.51,0.0,0.0,0.01,0.56,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0,0.5670000000000001,0.98,1,/app/raw_data/subj02_timepoint02.mp4
